acc	0.916167	0.923056	0.917056	0.921389	0.917944	0.919944	0.921556	0.920000	0.918222	0.920278	0.919561	0.002064
bacc	0.916167	0.923056	0.917056	0.921389	0.917944	0.919944	0.921556	0.920000	0.918222	0.920278	0.919561	0.002064
spd	0.002156	0.001844	0.001911	0.002356	0.001822	0.002244	0.002289	0.002267	0.002111	0.001933	0.002093	0.000189
deo	0.011222	0.009395	0.009667	0.011222	0.008556	0.010556	0.010506	0.009765	0.011111	0.009667	0.010167	0.000851
eod	0.011222	0.009222	0.009667	0.011222	0.008556	0.010556	0.010444	0.009333	0.010889	0.009667	0.010078	0.000871
aaod	0.006210	0.005259	0.005469	0.006395	0.004840	0.005951	0.006000	0.005432	0.006136	0.005420	0.005711	0.000471
aed	0.000933	0.001644	0.001022	0.001089	0.001067	0.000844	0.001489	0.001178	0.001311	0.001111	0.001169	0.000235
time per epoch	86.138140	79.652965	66.934651	68.346824	66.217387	61.933792	61.942671	65.528459	61.995122	61.862012	68.055202	7.889983
