acc	0.693832	0.868978	0.824403	0.806844	0.819451	0.666817	0.714093	0.664115	0.628996	0.815398	0.750293	0.080873
bacc	0.670468	0.869913	0.817361	0.806514	0.811127	0.640168	0.694685	0.642357	0.598910	0.807840	0.735934	0.091147
spd	0.146882	0.440502	0.260097	0.319585	0.266389	0.024358	0.119594	0.040716	0.042718	0.185444	0.184628	0.129713
deo	0.211841	0.709216	0.408788	0.490096	0.426721	0.103178	0.207489	0.097929	0.080838	0.352847	0.308894	0.194274
eod	0.039687	0.083084	0.033251	0.074387	0.029764	0.089104	0.016475	0.052050	0.020077	0.057604	0.049548	0.024686
aaod	0.125764	0.396150	0.221019	0.282242	0.228242	0.096141	0.111982	0.074990	0.050457	0.205226	0.179221	0.102090
aed	0.121229	0.307137	0.196265	0.205220	0.208886	0.137554	0.141184	0.108644	0.097116	0.215199	0.173843	0.061223
time per epoch	0.932368	0.931633	0.928112	0.928326	0.925271	0.927723	0.929396	0.929440	0.929878	0.927442	0.928959	0.001964
