acc	0.887342	0.883966	0.888186	0.883966	0.889873	0.887342	0.885232	0.886920	0.885232	0.885654	0.886371	0.001801
bacc	0.887211	0.884358	0.888359	0.883979	0.889747	0.887437	0.885494	0.887109	0.885267	0.885179	0.886414	0.001758
spd	0.046244	0.046311	0.066695	0.052166	0.058295	0.051683	0.072118	0.048498	0.058071	0.051858	0.055194	0.008204
deo	0.037017	0.050050	0.073359	0.048628	0.065391	0.055544	0.078795	0.050079	0.053722	0.059586	0.057217	0.011823
eod	0.009494	0.004506	0.012175	0.009494	0.003111	0.000366	0.017940	0.000251	0.016154	0.003484	0.007697	0.006009
aaod	0.023255	0.027278	0.042767	0.029061	0.034251	0.027955	0.048368	0.025165	0.034938	0.031535	0.032457	0.007524
aed	0.015147	0.027955	0.032604	0.021069	0.033086	0.028920	0.032621	0.026217	0.020570	0.033602	0.027179	0.006046
time per epoch	1.077231	1.079346	1.082833	1.075737	1.076735	1.081538	1.074588	1.072952	1.071596	1.079216	1.077177	0.003433
