acc	0.890717	0.889030	0.896203	0.901266	0.898312	0.901266	0.894937	0.895359	0.891983	0.889873	0.894895	0.004247
bacc	0.891765	0.889734	0.896864	0.901560	0.898619	0.901560	0.896182	0.895376	0.893431	0.890352	0.895544	0.004043
spd	0.043933	0.061597	0.043883	0.044573	0.045313	0.030800	0.066829	0.030767	0.054312	0.032056	0.045406	0.011880
deo	0.027111	0.082409	0.035166	0.038127	0.027568	0.031581	0.059840	0.018490	0.056538	0.029702	0.040653	0.018570
eod	0.015067	0.008826	0.005387	0.002983	0.016642	0.018847	0.026535	0.003613	0.004088	0.012740	0.011473	0.007449
aaod	0.021089	0.045617	0.020276	0.020555	0.022105	0.025214	0.043187	0.011051	0.030313	0.021221	0.026063	0.010234
aed	0.005783	0.046618	0.015097	0.018266	0.006232	0.025152	0.017318	0.011413	0.025942	0.021036	0.019286	0.011252
time per epoch	13.341268	13.889590	13.568510	13.781549	13.482519	13.514135	13.084936	13.135206	13.500069	13.031812	13.432959	0.272223
