acc	0.889873	0.889030	0.890295	0.886920	0.890717	0.887764	0.889873	0.889873	0.887764	0.886498	0.888861	0.001427
bacc	0.890390	0.889998	0.890983	0.887563	0.891916	0.888106	0.890088	0.890428	0.887917	0.886894	0.889428	0.001588
spd	0.076575	0.063352	0.067743	0.069706	0.073956	0.057863	0.059568	0.062562	0.057347	0.073856	0.066253	0.006740
deo	0.076973	0.059840	0.069687	0.077314	0.082010	0.060979	0.048998	0.071879	0.053722	0.088243	0.068965	0.012094
eod	0.028791	0.019940	0.018153	0.014238	0.017471	0.007302	0.023983	0.004834	0.014302	0.010940	0.015995	0.006940
aaod	0.052882	0.039890	0.043920	0.045776	0.049740	0.034141	0.036490	0.038356	0.034012	0.049592	0.042480	0.006521
aed	0.026200	0.020794	0.027182	0.033103	0.033328	0.028180	0.014149	0.034808	0.021293	0.040729	0.027977	0.007453
time per epoch	0.768331	0.773021	0.765449	0.764235	0.764190	0.761238	0.764208	0.762095	0.766706	0.763990	0.765346	0.003206
