acc	0.901266	0.900422	0.898734	0.899156	0.904641	0.899578	0.904219	0.898312	0.901266	0.891139	0.899873	0.003556
bacc	0.901257	0.900147	0.900006	0.899465	0.905131	0.899263	0.903819	0.898052	0.900690	0.890392	0.899822	0.003737
spd	0.096427	0.103280	0.112329	0.112453	0.107064	0.084584	0.101541	0.095412	0.098323	0.095844	0.100726	0.008102
deo	0.091974	0.096357	0.109673	0.111212	0.098490	0.083265	0.084746	0.087619	0.086567	0.091632	0.094154	0.009348
eod	0.052748	0.062493	0.066832	0.065450	0.067513	0.037642	0.071280	0.055833	0.062833	0.053217	0.059584	0.009425
aaod	0.072361	0.079425	0.088252	0.088331	0.083002	0.060454	0.078013	0.071726	0.074700	0.072425	0.076869	0.008044
aed	0.023430	0.021468	0.024429	0.027131	0.019230	0.026391	0.011363	0.020004	0.016544	0.023980	0.021397	0.004568
time per epoch	0.739421	0.740567	0.738938	0.738490	0.738170	0.734330	0.733499	0.734552	0.733648	0.731260	0.736287	0.003007
