acc	0.704638	0.706889	0.719496	0.741558	0.734804	0.714093	0.723548	0.702386	0.750563	0.718145	0.721612	0.015367
bacc	0.703934	0.703141	0.715988	0.734087	0.730723	0.709414	0.719955	0.701176	0.744817	0.717384	0.718062	0.013869
spd	0.075672	0.014259	0.097714	0.132883	0.081409	0.095071	0.036733	0.005815	0.036178	0.015216	0.059095	0.040991
deo	0.273352	0.235784	0.281103	0.304285	0.276101	0.245001	0.219801	0.196656	0.166250	0.215083	0.241342	0.040754
eod	0.170660	0.235784	0.137624	0.095232	0.168895	0.105758	0.199569	0.196656	0.154573	0.215083	0.167983	0.043485
aaod	0.222006	0.196872	0.209363	0.199758	0.222498	0.175380	0.209685	0.166166	0.160411	0.203916	0.196606	0.020976
aed	0.222149	0.202696	0.213722	0.210019	0.227900	0.181661	0.214770	0.168006	0.169007	0.204787	0.201472	0.020260
time per epoch	0.603100	0.606725	0.608243	0.608371	0.611535	0.607067	0.610539	0.610581	0.611506	0.613688	0.609135	0.002899
