acc	0.814948	0.815876	0.805943	0.806028	0.806394	0.802152	0.814498	0.831603	0.833840	0.847932	0.817921	0.014256
bacc	0.814297	0.815231	0.802964	0.809768	0.801944	0.802482	0.812371	0.832158	0.824400	0.838443	0.815406	0.011990
spd	0.133488	0.135643	0.113483	0.112073	0.082450	0.086223	0.091415	0.098959	0.109611	0.122637	0.108598	0.017769
deo	0.272591	0.278953	0.299104	0.297974	0.243701	0.249825	0.238576	0.225622	0.225630	0.230803	0.256278	0.027192
eod	0.083687	0.082455	0.146471	0.142835	0.153468	0.159218	0.133341	0.125622	0.111442	0.130803	0.126934	0.025549
aaod	0.178139	0.179356	0.222788	0.210405	0.198584	0.194521	0.185958	0.185113	0.185369	0.216116	0.195635	0.015052
aed	0.177876	0.179328	0.226248	0.217380	0.204694	0.205642	0.188390	0.184251	0.181758	0.199301	0.196487	0.015982
time per epoch	63.261633	63.918347	63.628112	63.928326	64.425271	59.747723	63.929396	62.929440	64.929878	63.869014	63.456714	1.343105
