acc	0.941890	0.942891	0.940587	0.946098	0.943994	0.942992	0.943443	0.939936	0.942340	0.941339	0.942551	0.001686
bacc	0.913507	0.914721	0.906870	0.904481	0.910903	0.902372	0.915198	0.913494	0.914562	0.902850	0.909896	0.004949
spd	0.170700	0.173312	0.160232	0.170887	0.172225	0.165059	0.174056	0.171436	0.174796	0.166265	0.169897	0.004386
deo	0.145789	0.177195	0.118952	0.188262	0.165905	0.175538	0.165681	0.130735	0.189516	0.143414	0.160099	0.023006
eod	0.145789	0.177195	0.118952	0.188262	0.165905	0.175538	0.165681	0.130735	0.189516	0.143414	0.160099	0.023006
aaod	0.082552	0.098847	0.065161	0.104854	0.093581	0.095921	0.093636	0.075734	0.105621	0.081069	0.089698	0.012485
aed	0.026054	0.025900	0.022473	0.032928	0.029385	0.028272	0.027326	0.026915	0.026376	0.030544	0.027617	0.002726
time per epoch	287.847651	276.489284	274.829611	275.562258	276.144825	275.842382	275.092808	276.742998	277.038072	276.250166	277.184005	3.615384
