acc	0.771724	0.746060	0.833859	0.802792	0.769923	0.844665	0.828005	0.779379	0.754615	0.777578	0.790860	0.032710
bacc	0.757251	0.735222	0.826542	0.793332	0.755740	0.841804	0.823480	0.765979	0.738663	0.763863	0.780188	0.036511
spd	0.155923	0.110236	0.169149	0.225373	0.015569	0.248057	0.166556	0.064467	0.068117	0.083387	0.130683	0.070959
deo	0.278323	0.173226	0.318832	0.369827	0.193061	0.453704	0.321568	0.199089	0.165668	0.215889	0.268919	0.091071
eod	0.030022	0.011926	0.061421	0.008754	0.193061	0.041029	0.068461	0.136103	0.089011	0.114476	0.075426	0.055853
aaod	0.154173	0.092576	0.190127	0.189290	0.176981	0.247366	0.195014	0.167596	0.127339	0.165183	0.170565	0.039405
aed	0.175293	0.108558	0.199934	0.193133	0.198950	0.249337	0.200466	0.187901	0.151655	0.185800	0.185103	0.034526
time per epoch	0.618385	0.617777	0.618169	0.618477	0.615638	0.615690	0.616290	0.615063	0.617085	0.617203	0.616978	0.001181
