acc	0.878469	0.876065	0.880773	0.875163	0.863992	0.890742	0.863090	0.872558	0.877517	0.864092	0.874246	0.008264
bacc	0.900623	0.896373	0.897976	0.901738	0.892908	0.900386	0.895092	0.893873	0.894507	0.896147	0.896962	0.002924
spd	0.155798	0.145580	0.138874	0.152247	0.128499	0.154267	0.131899	0.134327	0.131985	0.136672	0.141015	0.009647
deo	0.128405	0.150941	0.183871	0.171819	0.106183	0.205197	0.113038	0.137814	0.167921	0.120206	0.148539	0.031240
eod	0.128405	0.150941	0.183871	0.171819	0.106183	0.205197	0.113038	0.137814	0.167921	0.120206	0.148539	0.031240
aaod	0.068480	0.076475	0.097640	0.087133	0.062026	0.104557	0.064132	0.075415	0.092492	0.065413	0.079376	0.014391
aed	0.007688	0.017079	0.025177	0.016876	0.033950	0.008467	0.033325	0.026997	0.029588	0.029465	0.022861	0.009222
time per epoch	2.156468	2.115888	2.120279	2.148131	2.161263	2.255225	2.371696	2.414132	2.429491	2.279197	2.245177	0.116802
